Epoch,train_sat,test_phi1,test_phi2,test_phi3
0,0.5894315838813782,0.9131221175193787,0.9087525606155396,0.0
1,0.5924127101898193,0.9215225577354431,0.9183340668678284,0.0
2,0.5947635173797607,0.9279270768165588,0.9259264469146729,0.0
3,0.5967284440994263,0.9326989650726318,0.9318639636039734,0.0
4,0.5984781980514526,0.9362685084342957,0.936543881893158,0.0
5,0.6000961065292358,0.9390243887901306,0.9403047561645508,0.0
6,0.6016108989715576,0.9412768483161926,0.9434162974357605,0.0
7,0.6030303239822388,0.9432654976844788,0.9460969567298889,0.0
8,0.6043604016304016,0.9451688528060913,0.9485187530517578,0.0
9,0.6056137084960938,0.9471028447151184,0.9508005380630493,0.0
10,0.6068072319030762,0.9491210579872131,0.9530047178268433,0.0
11,0.6079531311988831,0.9512273073196411,0.9551488161087036,0.0
12,0.6090530157089233,0.9533950090408325,0.9572229981422424,0.0
13,0.6101003289222717,0.9555809497833252,0.9592040777206421,0.0
14,0.6110876798629761,0.9577339887619019,0.9610642194747925,0.0
15,0.6120133399963379,0.9598032236099243,0.9627785682678223,0.0
16,0.6128838062286377,0.961747407913208,0.9643320441246033,0.0
17,0.6137120723724365,0.9635419845581055,0.9657242894172668,0.0
18,0.6145114302635193,0.9651809930801392,0.9669699668884277,0.0
19,0.6152905225753784,0.9666734337806702,0.9680954217910767,0.0
20,0.6160516142845154,0.9680367708206177,0.9691330790519714,0.0
21,0.616793155670166,0.9692912101745605,0.9701153039932251,0.0
22,0.6175136566162109,0.9704546332359314,0.9710699319839478,0.0
23,0.6182154417037964,0.9715392589569092,0.9720152616500854,0.0
24,0.618904709815979,0.9725505709648132,0.9729573726654053,0.0
25,0.6195888519287109,0.9734878540039062,0.9738904237747192,0.0
26,0.6202730536460876,0.974346399307251,0.9747990965843201,0.0
27,0.6209585666656494,0.9751198291778564,0.9756633043289185,0.0
28,0.6216437816619873,0.9758027195930481,0.9764624238014221,0.0
29,0.6223270893096924,0.9763929843902588,0.9771793484687805,0.0
30,0.6230083107948303,0.9768939018249512,0.9778037667274475,0.0
31,0.6236890554428101,0.9773153066635132,0.9783340692520142,0.0
32,0.6243715286254883,0.977673351764679,0.9787768721580505,0.0
33,0.6250571012496948,0.9779883027076721,0.9791454672813416,0.0
34,0.6257466673851013,0.9782814383506775,0.979456901550293,0.0
35,0.6264407634735107,0.9785711765289307,0.9797287583351135,0.0
36,0.6271408796310425,0.9788699746131897,0.9799759387969971,0.0
37,0.6278486251831055,0.979182243347168,0.9802084565162659,0.0
38,0.6285654306411743,0.9795035123825073,0.9804300665855408,0.0
39,0.6292911767959595,0.9798223376274109,0.9806387424468994,0.0
40,0.6300245523452759,0.9801230430603027,0.9808283448219299,0.0
41,0.6307638883590698,0.980388879776001,0.9809912443161011,0.0
42,0.6315088272094727,0.980606198310852,0.9811207056045532,0.0
43,0.6322602033615112,0.9807666540145874,0.9812130928039551,0.0
44,0.6330194473266602,0.980868935585022,0.981269359588623,0.0
45,0.6337876319885254,0.9809184074401855,0.9812946319580078,0.0
46,0.6345645189285278,0.9809255003929138,0.9812970161437988,0.0
47,0.6353496313095093,0.9809035062789917,0.9812857508659363,0.0
48,0.6361420750617981,0.9808651208877563,0.9812686443328857,0.0
49,0.6369417905807495,0.98082035779953,0.981249988079071,0.0
50,0.6377487778663635,0.9807743430137634,0.9812297821044922,0.0
51,0.6385630965232849,0.980726957321167,0.9812037348747253,0.0
52,0.6393843293190002,0.9806735515594482,0.9811645746231079,0.0
53,0.6402119994163513,0.9806071519851685,0.9811041951179504,0.0
54,0.6410456895828247,0.9805203676223755,0.9810157418251038,0.0
55,0.6418852806091309,0.9804075360298157,0.9808953404426575,0.0
56,0.642730712890625,0.9802661538124084,0.9807429313659668,0.0
57,0.6435816287994385,0.9800968766212463,0.9805620908737183,0.0
58,0.6444375514984131,0.9799028635025024,0.9803584814071655,0.0
59,0.6452980041503906,0.979688286781311,0.9801383018493652,0.0
60,0.6461625099182129,0.9794571399688721,0.9799062013626099,0.0
61,0.6470307111740112,0.9792113304138184,0.9796642661094666,0.0
62,0.6479017734527588,0.9789506196975708,0.9794114232063293,0.0
63,0.6487748622894287,0.978672444820404,0.979144275188446,0.0
64,0.6496492624282837,0.978373110294342,0.978858232498169,0.0
65,0.6505242586135864,0.9780489206314087,0.9785491824150085,0.0
66,0.6513992547988892,0.9776973128318787,0.9782149791717529,0.0
67,0.6522734761238098,0.9773176312446594,0.9778556823730469,0.0
68,0.6531460285186768,0.9769108295440674,0.9774733781814575,0.0
69,0.6540156602859497,0.9764785170555115,0.9770707488059998,0.0
70,0.6548813581466675,0.9760221242904663,0.9766498804092407,0.0
71,0.6557420492172241,0.9755417108535767,0.9762107729911804,0.0
72,0.6565966606140137,0.9750358462333679,0.9757511615753174,0.0
73,0.6574441194534302,0.9745015501976013,0.9752667546272278,0.0
74,0.6582831144332886,0.9739356637001038,0.9747530221939087,0.0
75,0.6591125726699829,0.9733352661132812,0.9742059111595154,0.0
76,0.6599314212799072,0.9726986885070801,0.9736233949661255,0.0
77,0.6607388257980347,0.9720256328582764,0.9730055928230286,0.0
78,0.6615340113639832,0.9713166952133179,0.9723547697067261,0.0
79,0.662316083908081,0.9705723524093628,0.9716734886169434,0.0
80,0.6630845069885254,0.9697921872138977,0.9709636569023132,0.0
81,0.6638386845588684,0.9689738750457764,0.9702250361442566,0.0
82,0.6645783185958862,0.9681136608123779,0.9694550633430481,0.0
83,0.665303111076355,0.9672068357467651,0.9686493873596191,0.0
84,0.6660128235816956,0.9662489295005798,0.9678029417991638,0.0
85,0.666707456111908,0.9652368426322937,0.966911792755127,0.0
86,0.6673871874809265,0.9641692042350769,0.9659736156463623,0.0
87,0.6680523157119751,0.963046133518219,0.9649879932403564,0.0
88,0.6687031984329224,0.9618680477142334,0.9639556407928467,0.0
89,0.6693401336669922,0.9606343507766724,0.9628770351409912,0.0
90,0.6699636578559875,0.9593428373336792,0.9617514610290527,0.0
91,0.6705743074417114,0.9579888582229614,0.9605761766433716,0.0
92,0.6711726188659668,0.9565660953521729,0.959346354007721,0.0
93,0.6717591285705566,0.9550678133964539,0.9580564498901367,0.0
94,0.6723343133926392,0.953488290309906,0.9567018151283264,0.0
95,0.6728989481925964,0.9518240690231323,0.9552797079086304,0.0
96,0.6734534502029419,0.950074315071106,0.9537898898124695,0.0
97,0.6739983558654785,0.9482399821281433,0.9522343873977661,0.0
98,0.6745343208312988,0.946321427822113,0.950614869594574,0.0
99,0.6750619411468506,0.9443172216415405,0.9489319324493408,0.0
100,0.6755820512771606,0.942223310470581,0.9471835494041443,0.0
101,0.6760951280593872,0.9400334358215332,0.9453657269477844,0.0
102,0.6766020059585571,0.9377411007881165,0.9434739947319031,0.0
103,0.6771032810211182,0.9353415966033936,0.9415048360824585,0.0
104,0.6775997877120972,0.9328336715698242,0.939457893371582,0.0
105,0.6780920624732971,0.9302201867103577,0.9373361468315125,0.0
106,0.6785811185836792,0.9275060296058655,0.9351441860198975,0.0
107,0.6790676712989807,0.9246951341629028,0.932886004447937,0.0
108,0.6795525550842285,0.9217888116836548,0.9305635094642639,0.0
109,0.6800367832183838,0.9187862873077393,0.9281769394874573,0.0
110,0.6805212497711182,0.915686845779419,0.9257267713546753,0.0
111,0.681006908416748,0.9124912619590759,0.9232144355773926,0.0
112,0.6814947128295898,0.9092024564743042,0.9206429719924927,0.0
113,0.6819857954978943,0.905828058719635,0.9180185794830322,0.0
114,0.6824809312820435,0.9023793935775757,0.9153498411178589,0.0
115,0.6829810738563538,0.8988668918609619,0.9126442074775696,0.0
116,0.6834872961044312,0.8953008055686951,0.9099085330963135,0.0
117,0.6840002536773682,0.8916882276535034,0.9071463346481323,0.0
118,0.6845210790634155,0.8880326747894287,0.9043580293655396,0.0
119,0.685050368309021,0.8843367099761963,0.9015427827835083,0.0
120,0.685589075088501,0.8806055188179016,0.8987006545066833,0.0
121,0.6861379742622375,0.8768473267555237,0.8958339095115662,0.0
122,0.6866976022720337,0.8730723857879639,0.8929455876350403,0.0
123,0.6872687339782715,0.869290828704834,0.8900383114814758,0.0
124,0.6878513693809509,0.8655076622962952,0.8871093392372131,0.0
125,0.6884459257125854,0.8617237210273743,0.8841528296470642,0.0
126,0.6890524625778198,0.8579384088516235,0.8811625242233276,0.0
127,0.6896713972091675,0.8541522026062012,0.8781335353851318,0.0
128,0.6903030872344971,0.8503679037094116,0.8750635981559753,0.0
129,0.6909476518630981,0.8465904593467712,0.8719524145126343,0.0
130,0.6916055679321289,0.8428213596343994,0.8687974214553833,0.0
131,0.6922769546508789,0.8390560746192932,0.8655925393104553,0.0
132,0.6929621696472168,0.8352874517440796,0.862330436706543,0.0
133,0.6936616897583008,0.8315077424049377,0.8590039014816284,0.0
134,0.69437575340271,0.8277114629745483,0.855608344078064,0.0
135,0.6951047778129578,0.8238967657089233,0.8521424531936646,0.0
136,0.6958492398262024,0.8200631141662598,0.8486060500144958,0.0
137,0.696609377861023,0.8162088990211487,0.8449982404708862,0.0
138,0.6973854303359985,0.8123297095298767,0.8413156270980835,0.0
139,0.6981773972511292,0.80842125415802,0.8375547528266907,0.0
140,0.6989853382110596,0.804482102394104,0.8337144255638123,0.0
141,0.6998088359832764,0.8005179166793823,0.8298003673553467,0.0
142,0.7006472945213318,0.7965408563613892,0.8258253335952759,0.0
143,0.7014997005462646,0.79256272315979,0.8218031525611877,0.0
144,0.7023650407791138,0.7885894179344177,0.8177455067634583,0.0
145,0.7032422423362732,0.7846256494522095,0.813664972782135,0.0
146,0.7041298151016235,0.7806785106658936,0.8095771074295044,0.0
147,0.705026388168335,0.7767586708068848,0.805500864982605,0.0
148,0.7059310078620911,0.7728787660598755,0.8014561533927917,0.0
149,0.7068425416946411,0.7690480351448059,0.7974591255187988,0.0
150,0.7077597975730896,0.7652697563171387,0.7935181856155396,0.0
